Gene,DN1,DN2,DN3a,DN3b,DN4
Foxj3,-1.051830254,-0.982141854,-0.70356816500932,-0.84399319821784,-1.325008783
Foxp4,-1.143818943,-1.238595167,-0.66141137517027,-0.79342234289441,-1.454164618
Fus,-0.375388183,-0.538923629,-0.40519632563788,-0.4860693814603,-0.744272115
Gabpa,-0.978425139,-0.936612099,-0.68351299283623,-0.8199352181315,-1.181915268
Gata2,-1.807252513,-2.783819295,-2.84374148271093,-3.4113232921307,-4.022414462
Gse1,-1.345450714,-1.25067449,-1.00357716095125,-1.20388093130736,-1.210255217
Hes1,-0.27968278,-0.292691281,-0.20710034360803,-0.24843546090724,-1.804464977
Hmga1,-1.017450643,-0.759138973,-0.53944318820414,-0.64711054921481,-0.623478887
Jmjd3,-1.247886954,-1.360317573,-0.86155380269299,-1.03351115859822,-1.161473337
Klf2,-2.134323405,-2.680215873,-1.96704397931825,-2.35964590455563,-3.448182044
Lima1,-2.624000564,-3.172215979,-2.84374148271093,-3.4113232921307,-3.592204738
Mlf2,-1.198640484,-1.154039908,-0.8521401504305,-1.02221863731163,-1.022096537
Mll1,-0.462730978,-0.362379681,-0.042566078761433,-0.051061834142223,-0.646708354
Mll2,-1.479252442,-1.489473408,-0.97492691612236,-1.16951238968561,-1.743139185
Mta2,-1.194923769,-1.049971897,-0.85705162102294,-1.02811038736432,-1.137314692
Mta3,-1.424430901,-1.384476218,-0.89225049389572,-1.07033459642751,-1.827694444
Mybl2,-2.226312093,-1.965212887,-1.67890437005407,-2.01399656672225,-1.73942247
Nasp,-0.276895244,-0.311274854,-0.053207598672033,-0.063827292941979,-0.493393874
Ncor1,-0.536136092,-0.465518514,-0.28813960926419,-0.34564933783338,-0.734051149
Ncor2,-0.706175789,-0.867852878,-0.46413397274711,-0.55677038209254,-1.070413828
Per1,-1.851853089,-1.901099558,-1.52992309482954,-1.83528014775287,-2.079501863
Pou2f1,-0.889688576,-0.883648915,-0.63357970818614,-0.76003575891025,-1.074130542
Ptma,0.713609218,0.829756552,0.81366696441675,0.97606659558452,0.805597907
Rara,-1.876940913,-2.245824845,-1.68299726192077,-2.01890635808055,-2.292283779
Rbak,-1.407705685,-1.590753883,-1.23277912310621,-1.47882926850849,-1.941054241
Rreb1,0.297337174,0.347512823,0.24311779520654,0.29164162866482,-0.758209795
Saps1,0.101280475,0.005575072,0.072034902316047,0.086412334458346,-0.257382492
Satb1,-1.252532847,-1.294345887,-0.86851171965927,-1.04185780485846,-0.780510083
Stat5b,-0.199773414,-0.107784726,0.066304852997882,0.079538625711277,-0.556578023
Tbx21,-3.589417202,-3.846799693,-2.62681819791803,-3.15110433111808,-2.41028947
Tfdp1,-1.624204315,-1.523853019,-1.1009879949552,-1.32073397472352,-1.62792103
Tle3,-0.054821542,-0.039025504,0.15389274581697,0.18460816902207,-0.484102087
Tox,-0.301983068,-0.361450503,-0.23984348118459,-0.28771379494409,-1.03417586
Trim14,-3.416589969,-3.76503197,-3.31769839664292,-3.97987717432862,-3.797088634
Trim25,-1.567524416,-1.857428161,-1.448474540251,-1.73757529200794,-1.484827514
Trim44,-0.799093656,-0.814889693,-0.64995127741491,-0.77967492645708,-1.101076724
Yy1,-0.805597907,-0.916170168,-0.61966387513457,-0.74334246744657,-0.628124781
Zbtb20,-1.62792103,-1.731059862,-1.44233520201045,-1.73021060444208,-2.886493538
Zbtb48,-1.764510294,-1.876011734,-1.36948172184965,-1.64281631234615,-2.038618002
Zfp1,-1.409564042,-1.539649056,-1.05105471030512,-1.26083451550227,-1.718051361
Zfp110,-1.171694303,-1.227445023,-0.9421837785458,-1.13023405564877,-1.415139114
Zfp238,-0.53799445,-0.629053959,-0.53371313976694,-0.64023684152455,-1.04068011
Zfp28,-2.547807913,-2.830278228,-2.18928802362597,-2.62624759443973,-3.518799623
Zfp382,-1.893666119,-1.586107987,-1.21477040083083,-1.45722618885692,-1.609337454
Zfp384,-2.463252654,-2.686255535,-2.19297162745127,-2.63066640803605,-2.559422646
Zfp426,-0.955195673,-0.927320313,-0.67205289508087,-0.80618780169417,-1.273903956
Zfp598,-1.363105109,-1.601439437,-1.05842191619377,-1.2696721405813,-1.22976797
Zfp748,-1.742210006,-1.680884214,-1.46361824183166,-1.75574152204159,-2.163127943
Zfp771,-1.563807701,-1.533144805,-1.12390819134689,-1.34822880865499,-1.952204385
Zkscan5,-2.348963677,-2.246754024,-1.93020794899402,-2.31545777810368,-2.525507625
Zscan22,-2.255116632,-2.582652113,-2.15613559712703,-2.58647828158409,-2.309008995
CD3e,-3.6198,-0.5528,0.1461,-0.2518,-3.12858421210162
IL2Rb,-2.8539,-2.301,-3.699,-2.4318,-6.46448305481785
Notch3,-2.0132,-0.7959,0.0414,-0.9208,-1.18973501102027
pTa,-3.7212,-1.3098,-0.1739,-0.699,-1.86350264860225
Rag1,-2.0506,-0.8861,0.6021,-0.3279,-0.8665577810702
Sox13,-1.5229,-1.1549,-1.0605,-1.1871,-1.23593270098328
Zap70,-3.699,-2.0177,-1.6383,-1.3468,-1.75663781907349
Bcl2,-1.6021,-0.8861,-1.0269,-1.3468,-2.29046300142543
CD3g,-4.3098,0.0414,0.2553,0.0414,-0.00716402209867
cKit,-0.9208,-1.1549,-1.3372,-1.7696,-2.01180355052104
GAPDH,0.5185,0.7076,0.7634,0.9031,0.53904266486089
IL2UP,-4.3098,-3.9208,-3.4815,-4.6383,-5.37239821849337
IL7Ra,-2.2007,-0.9208,-0.9208,-1.2924,-1.26518864694719
Lat,-1.699,-0.4949,-0.0655,-0.4202,-0.86864598789898
Lck,-1.1249,-0.2518,-0.0088,-0.1367,-0.42895028398489
Notch1,-0.699,-0.3468,-0.0757,-0.4949,-0.61126146264778
TCR-Ca,-4.7696,-3.585,-3.1739,-2.0655,-3.50692363247797
