Gene,DN1,DN2,DN3a,DN3b,DN4
Atxn2l,-1.615377118,-1.336623517,-1.195852948,-1.443943653,-1.682277982
Bcl11b,-3.404510646,-1.546153307,-1.188419519,-1.479252442,-1.610266635
Ccdc88c,-0.892310254,-1.01761771,-0.792136198,-1.07252836,-1.071298034
Cebpb,-3.039343429,-3.099275453,-3.711139607,-3.693949802,-3.720895983
Dtx1,-2.269054312,-2.258833346,-0.774935011,-1.20142802,-1.660442283
Elf4,-0.820464765,-0.898515774,-0.646708354,-0.866923699,-1.188419519
Erg,-0.49618141,-1.328725498,-1.554515915,-2.762448185,-3.568046092
Esr1,-1.476056439,-1.557656353,-1.374140871,-2.007736563,-2.369675163
Ets1,-1.11036851,-0.508260732,-0.01393768,-0.140305979,-0.399546828
Ets2,-2.651875924,-2.582187523,-1.438368581,-1.804464977,-1.879728449
Etv6,-0.019512752,-0.931037027,-0.931037027,-1.382617861,-1.5507992
Foxp1,-0.630912317,-1.391909647,-1.02674243,-1.516419589,-1.477394085
Gata3,-1.411661013,-0.84187583,-0.721498131,-0.883187578,-0.984690312
Gfi1,-1.193994591,-1.142889764,-0.987716926,-1.214901111,-1.469031477
Gfi1b,-1.233020095,-1.387263754,-2.209586877,-2.485552942,-2.816340548
HEBalt,-3.404510646,-1.817473478,-1.313858639,-1.908532988,-2.559887235
Id1,-3.184295302,-2.952465223,-2.460929707,-3.140159315,-2.933417061
Id2,-2.495773907,-2.651875924,-2.281133634,-2.887887306,-3.306017707
Id3,-3.502074407,-2.928771167,-2.204011805,-1.505269445,-1.855569804
Ikzf1,-0.610470386,-0.85205684,-0.933824563,-1.115014404,-0.721971826
Ikzf2,-0.936612099,-0.973779246,-1.002583785,-1.297133423,-1.037892574
Ikzf3,-2.089722828,-3.715320911,-1.981938103,-1.44580201,-0.71268004
Ikzf4,-2.793311505,-2.552468859,-1.743221324,-2.411240019,-2.937091358
Klf13,-0.826200307,-0.851894791,-0.566552849,-0.798217812,-0.657359622
Lef1,-2.332703051,-1.705042859,-0.170968875,0.333110553,0.298730942
Myst3,-0.517221267,-0.744252137,-0.449067963,-0.759800734,-0.836814408
Nfe2,-2.140363066,-2.049303556,-1.948487671,-2.147796495,-2.203082626
Pou6f1,-3.633088599,-3.123898688,-1.63442528,-1.910391345,-1.828623622
Rnf149,-1.207785646,-1.499276336,-1.488096272,-1.528620541,-1.633941457
Runx1,-0.269461814,-0.033450432,0.280611958,-0.159818731,-0.619762173
Runx2,-0.701266659,-0.943442863,-1.198348722,-2.063151571,-2.888336935
Runx3,-0.372600647,-0.436713975,-0.883648915,-0.955195673,-1.322221247
Sbf1,-0.486185306,-0.582098845,-0.33372028,-0.636065913,-0.572349809
Sfpi1,-0.592815991,-1.08249315,-2.436306472,-3.008680533,-3.140159315
SpiB-1,-3.144340619,-3.555037591,-1.888091057,-2.684397177,-4.401519359
Tcf12,-1.129881263,-0.794447763,-0.237869739,-0.508260732,-0.688521394
Tcf7,-0.471093586,0.075263472,0.348442001,0.433926439,0.221144523
Tcfe2a,-0.958912387,-0.8102438,-0.813031336,-0.773076653,-1.08249315
Thrap3,-1.182774944,-1.977316089,-2.047505967,-2.166289753,-2.066300557
Tsc22d1,-0.656919842,-1.515917182,-1.478101283,-2.079145151,-1.844493251
Unk,-0.926586261,-1.037634355,-1.02483845,-1.082130678,-1.061438101
Zbtb7a,-1.893666129,-2.339671891,-2.128748333,-2.37498068,-2.309008995
Zfp109,-3.133190475,-2.769417025,-2.683003409,-2.932487882,-3.222391627
Zfp287,-1.845802092,-2.053784428,-1.50797447,-2.170086888,-2.396451583
Zfp316,-1.559263181,-1.876073525,-2.464941622,-2.5079166,-2.616109096
Zfp358,-1.010024276,-1.115891734,-0.966759208,-1.255090876,-1.260303011
Zfp407,-2.489269657,-2.66860114,-2.555241342,-2.864657839,-2.896249914
Zfp422,-0.490524756,-0.649512801,-0.453619266,-0.645529319,-0.698556431
Zkscan1,-1.32825171,-1.310085709,-0.870584384,-1.243953554,-1.388118691
